data,descricao,tipo,valor
2022-01-25,Reembolso,receita,6690.2
2022-05-23,Venda de produto,receita,5185.25
2023-01-26,Venda de produto,receita,8363.01
2022-04-27,Reembolso,receita,7760.62
2022-08-27,Manutenção,despesa,-6136.32
2022-03-28,Reembolso,receita,9436.55
2023-01-26,Manutenção,despesa,-3536.36
2022-09-11,Salário,receita,8437.72
2023-10-18,Manutenção,despesa,-4396.9
2023-08-25,Compra de estoque,despesa,-4126.57
2022-12-10,Compra de estoque,despesa,-1824.73
2022-05-29,Venda de produto,receita,1563.45
2022-04-06,Salário,receita,3311.11
2023-10-22,Manutenção,despesa,-5236.55
2023-10-07,Investimento,receita,8399.74
2023-06-29,Manutenção,despesa,-3675.27
2023-06-17,Manutenção,despesa,-7203.48
2023-01-10,Conta de luz,despesa,-1930.58
2023-08-26,Compra de estoque,despesa,-9754.51
2022-10-17,Aluguel,despesa,-481.72
2023-10-12,Manutenção,despesa,-2191.03
2023-03-17,Salário,receita,3224.31
2023-04-17,Conta de luz,despesa,-8794.06
2023-11-10,Venda de produto,receita,3353.05
2022-09-03,Investimento,receita,8570.93
2022-10-31,Manutenção,despesa,-7431.55
2022-05-01,Aluguel,despesa,-2642.17
2023-05-17,Manutenção,despesa,-990.59
2022-12-07,Conta de luz,despesa,-6874.35
2022-07-01,Investimento,receita,4677.91
2022-07-24,Conta de luz,despesa,-3399.04
2023-05-02,Compra de estoque,despesa,-1333.62
2022-05-28,Investimento,receita,3068.79
2022-12-21,Investimento,receita,7994.4
2023-09-26,Investimento,receita,3421.85
2022-07-06,Compra de estoque,despesa,-6168.4
2022-01-30,Reembolso,receita,1325.23
2023-04-17,Compra de estoque,despesa,-5481.35
2022-05-16,Venda de produto,receita,6177.9
2022-04-24,Investimento,receita,5187.56
2022-04-07,Aluguel,despesa,-7472.28
2022-07-08,Manutenção,despesa,-254.76
2023-01-20,Venda de produto,receita,9423.85
2023-11-05,Venda de produto,receita,1914.51
2023-06-28,Reembolso,receita,5603.96
2023-06-17,Investimento,receita,4388.34
2023-06-09,Conta de luz,despesa,-3817.99
2022-08-11,Manutenção,despesa,-1982.17
2022-03-13,Conta de luz,despesa,-6667.25
2023-10-14,Aluguel,despesa,-2885.53
2023-03-17,Venda de produto,receita,8003.28
2023-02-23,Venda de produto,receita,9981.41
2022-10-18,Salário,receita,2791.49
2023-05-09,Compra de estoque,despesa,-4143.99
2023-02-27,Venda de produto,receita,9526.73
2022-12-11,Conta de luz,despesa,-9751.83
2022-12-30,Investimento,receita,8344.68
2023-01-20,Venda de produto,receita,5159.17
2023-10-17,Compra de estoque,despesa,-7584.65
2022-06-18,Aluguel,despesa,-4586.53
2023-02-04,Aluguel,despesa,-415.39
2023-02-05,Salário,receita,1536.5
2022-02-16,Venda de produto,receita,5036.87
2022-03-08,Manutenção,despesa,-3166.52
2022-07-08,Conta de luz,despesa,-2458.26
2022-12-26,Salário,receita,928.0
2023-12-17,Manutenção,despesa,-2808.1
2022-10-31,Aluguel,despesa,-9163.35
2023-04-08,Compra de estoque,despesa,-5615.51
2022-01-09,Venda de produto,receita,9158.73
2022-08-30,Salário,receita,6407.08
2023-05-12,Aluguel,despesa,-3241.73
2022-06-14,Venda de produto,receita,2649.87
2022-09-23,Reembolso,receita,5956.42
2022-03-28,Reembolso,receita,1126.77
2022-10-19,Venda de produto,receita,2186.47
2022-12-23,Aluguel,despesa,-3958.65
2023-02-27,Reembolso,receita,5263.24
2023-11-09,Salário,receita,2235.19
2022-07-20,Conta de luz,despesa,-1117.23
2023-05-06,Manutenção,despesa,-3948.67
2023-03-16,Salário,receita,8438.68
2022-12-16,Reembolso,receita,2316.89
2023-07-30,Conta de luz,despesa,-5486.98
2022-12-05,Manutenção,despesa,-8433.49
2023-09-07,Salário,receita,9177.38
2022-07-21,Investimento,receita,537.65
2022-10-15,Investimento,receita,3970.81
2022-03-30,Conta de luz,despesa,-4829.75
2022-01-07,Aluguel,despesa,-7173.33
2023-08-16,Venda de produto,receita,6015.89
2022-03-20,Manutenção,despesa,-1283.76
2023-01-18,Conta de luz,despesa,-7819.32
2022-04-15,Aluguel,despesa,-2538.69
2022-10-08,Manutenção,despesa,-4682.47
2023-01-10,Manutenção,despesa,-5447.7
2022-11-17,Conta de luz,despesa,-6002.94
2023-07-05,Aluguel,despesa,-6235.61
2022-08-11,Compra de estoque,despesa,-2983.81
2023-05-07,Venda de produto,receita,1081.06
2022-03-04,Investimento,receita,7832.58
2022-06-22,Venda de produto,receita,3030.7
2023-08-15,Reembolso,receita,2895.71
2022-03-03,Venda de produto,receita,7245.67
2022-11-23,Investimento,receita,3824.99
2022-09-11,Aluguel,despesa,-5573.1
2023-03-05,Salário,receita,593.5
2023-09-11,Aluguel,despesa,-8980.2
2022-02-22,Salário,receita,5399.18
2022-01-10,Salário,receita,7472.81
2023-11-05,Manutenção,despesa,-5658.86
2023-06-17,Investimento,receita,7746.5
2023-12-28,Venda de produto,receita,3427.93
2023-01-05,Manutenção,despesa,-5961.39
2023-08-04,Aluguel,despesa,-754.36
2023-01-11,Reembolso,receita,1153.59
2022-06-08,Venda de produto,receita,6663.74
2023-05-17,Manutenção,despesa,-4940.01
2023-10-01,Aluguel,despesa,-2054.06
2023-11-21,Investimento,receita,6153.32
2023-11-14,Aluguel,despesa,-5265.05
2023-11-13,Manutenção,despesa,-2421.21
2022-06-26,Reembolso,receita,8640.13
2023-06-09,Aluguel,despesa,-5919.39
2023-01-21,Aluguel,despesa,-3223.46
2023-10-03,Compra de estoque,despesa,-3089.94
2023-08-01,Conta de luz,despesa,-5113.37
2023-02-15,Reembolso,receita,5796.26
2023-09-01,Salário,receita,195.35
2022-01-09,Venda de produto,receita,2359.8
2022-12-30,Salário,receita,8106.76
2023-06-24,Investimento,receita,908.86
2023-02-07,Aluguel,despesa,-9997.67
2023-04-26,Aluguel,despesa,-4244.98
2023-09-04,Investimento,receita,4882.4
2022-02-17,Conta de luz,despesa,-2824.6
2023-08-16,Aluguel,despesa,-3961.87
2022-02-09,Venda de produto,receita,5475.31
2022-01-28,Investimento,receita,1364.73
2023-08-11,Salário,receita,6992.42
2022-07-05,Aluguel,despesa,-6446.38
2022-03-20,Conta de luz,despesa,-5413.36
2023-01-07,Investimento,receita,1747.81
2022-09-11,Reembolso,receita,3425.52
2023-06-01,Salário,receita,6605.64
2023-05-11,Venda de produto,receita,4859.19
2022-07-03,Venda de produto,receita,5401.24
2022-09-06,Aluguel,despesa,-1767.08
2022-04-11,Salário,receita,4508.87
2022-04-17,Venda de produto,receita,3142.13
2022-03-02,Reembolso,receita,2888.99
2023-10-14,Salário,receita,235.65
2022-04-02,Compra de estoque,despesa,-8587.55
2022-12-17,Venda de produto,receita,1476.97
2023-06-06,Venda de produto,receita,9444.03
2023-11-12,Aluguel,despesa,-2896.33
2023-05-21,Compra de estoque,despesa,-3397.62
2022-11-15,Investimento,receita,2148.58
2022-08-21,Venda de produto,receita,9116.91
2023-09-11,Venda de produto,receita,5940.29
2023-12-22,Salário,receita,8338.72
2022-03-27,Reembolso,receita,8929.57
2022-01-13,Manutenção,despesa,-8638.77
2023-03-14,Manutenção,despesa,-864.32
2023-12-09,Salário,receita,1359.6
2022-12-23,Salário,receita,8979.94
2023-12-28,Reembolso,receita,9018.6
2023-10-26,Aluguel,despesa,-3910.2
2023-03-04,Compra de estoque,despesa,-4739.45
2023-03-03,Investimento,receita,6000.19
2022-06-12,Investimento,receita,6199.57
2023-12-19,Compra de estoque,despesa,-1308.94
2022-12-07,Reembolso,receita,6775.79
2023-09-24,Manutenção,despesa,-1848.0
2022-02-14,Venda de produto,receita,2996.94
2022-08-12,Venda de produto,receita,9344.4
2023-06-17,Venda de produto,receita,5810.94
2023-12-29,Venda de produto,receita,4008.09
2023-11-14,Reembolso,receita,9293.09
2023-09-11,Reembolso,receita,8963.78
2023-09-30,Manutenção,despesa,-3955.75
2023-09-14,Manutenção,despesa,-7458.59
2022-06-23,Investimento,receita,6115.32
2023-05-10,Investimento,receita,8632.61
2023-07-24,Venda de produto,receita,223.93
2022-06-04,Reembolso,receita,9844.83
2023-11-09,Compra de estoque,despesa,-8785.1
2022-07-30,Conta de luz,despesa,-9393.89
2022-06-07,Aluguel,despesa,-3506.17
2022-01-21,Investimento,receita,9483.47
2023-01-01,Investimento,receita,5628.93
2023-08-06,Conta de luz,despesa,-583.28
2022-06-22,Venda de produto,receita,203.21
2022-12-16,Compra de estoque,despesa,-1376.67
2022-08-10,Compra de estoque,despesa,-9976.84
2022-09-19,Aluguel,despesa,-941.73
2023-02-21,Aluguel,despesa,-7622.53
2022-07-07,Venda de produto,receita,8629.21
2022-02-11,Compra de estoque,despesa,-2566.77
2022-10-17,Aluguel,despesa,-6117.43
2022-09-28,Investimento,receita,2671.8
2022-09-06,Manutenção,despesa,-9346.13
2023-12-14,Investimento,receita,1978.93
2022-07-08,Conta de luz,despesa,-8141.59
2022-10-10,Salário,receita,8042.3
2023-05-31,Aluguel,despesa,-5430.84
2023-01-21,Salário,receita,5760.81
2023-11-03,Reembolso,receita,9096.05
2022-09-28,Investimento,receita,9297.39
2023-08-23,Investimento,receita,1696.03
2022-12-22,Compra de estoque,despesa,-9120.15
2023-08-21,Venda de produto,receita,3908.42
2022-03-17,Investimento,receita,5751.92
2022-06-22,Reembolso,receita,8632.77
2023-02-06,Aluguel,despesa,-6941.07
2023-08-22,Manutenção,despesa,-3642.39
2023-12-31,Manutenção,despesa,-6508.99
2022-01-10,Compra de estoque,despesa,-4881.29
2023-07-22,Investimento,receita,9707.04
2023-10-13,Compra de estoque,despesa,-823.38
2022-05-02,Venda de produto,receita,6297.08
2023-04-02,Compra de estoque,despesa,-9104.6
2023-11-10,Venda de produto,receita,800.81
2023-03-19,Salário,receita,8371.09
2022-09-04,Reembolso,receita,2338.54
2022-10-12,Investimento,receita,2182.03
2023-05-29,Conta de luz,despesa,-2158.62
2023-11-13,Reembolso,receita,4117.22
2023-12-08,Investimento,receita,9038.07
2022-04-01,Venda de produto,receita,4097.33
2023-10-21,Compra de estoque,despesa,-6130.24
2022-07-14,Venda de produto,receita,782.42
2023-04-15,Reembolso,receita,2352.83
2022-06-26,Conta de luz,despesa,-2174.31
2022-12-17,Conta de luz,despesa,-9697.33
2023-03-27,Aluguel,despesa,-9177.11
2023-08-18,Aluguel,despesa,-9397.51
2023-06-29,Venda de produto,receita,7859.77
2022-05-06,Conta de luz,despesa,-5819.92
2023-07-05,Manutenção,despesa,-7394.09
2022-12-13,Venda de produto,receita,1098.85
2023-09-17,Aluguel,despesa,-9201.01
2023-09-10,Compra de estoque,despesa,-6380.66
2022-09-08,Compra de estoque,despesa,-6171.52
2022-05-20,Investimento,receita,1693.3
2023-07-05,Manutenção,despesa,-2206.06
2023-05-18,Manutenção,despesa,-1159.61
2022-06-01,Compra de estoque,despesa,-6751.22
2022-10-04,Reembolso,receita,5349.81
2023-12-30,Reembolso,receita,923.11
2023-04-21,Compra de estoque,despesa,-3820.56
2022-04-29,Salário,receita,1728.33
2023-12-02,Reembolso,receita,2505.74
2023-01-29,Reembolso,receita,1167.21
2022-01-22,Venda de produto,receita,8639.68
2023-01-19,Reembolso,receita,647.78
2022-09-30,Aluguel,despesa,-1482.08
2022-09-06,Conta de luz,despesa,-3027.52
2023-07-31,Manutenção,despesa,-7087.72
2022-12-04,Compra de estoque,despesa,-9560.45
2022-08-23,Salário,receita,8070.49
2022-09-20,Aluguel,despesa,-1242.57
2022-11-07,Manutenção,despesa,-6283.22
2022-12-13,Compra de estoque,despesa,-4036.4
2022-04-09,Reembolso,receita,6614.2
2022-10-01,Venda de produto,receita,359.51
2023-03-03,Aluguel,despesa,-7054.39
2022-11-28,Reembolso,receita,2174.76
2023-02-19,Venda de produto,receita,1165.42
2022-08-27,Conta de luz,despesa,-2464.59
2022-08-09,Compra de estoque,despesa,-8409.6
2022-08-07,Salário,receita,9904.18
2022-01-24,Salário,receita,3589.78
2023-09-21,Reembolso,receita,3397.17
2023-12-10,Salário,receita,6879.96
2023-09-16,Compra de estoque,despesa,-5993.46
2023-03-15,Venda de produto,receita,1032.27
2023-07-28,Reembolso,receita,860.31
2023-08-17,Manutenção,despesa,-855.76
2023-02-20,Venda de produto,receita,4076.12
2022-04-15,Venda de produto,receita,6267.69
2022-02-06,Conta de luz,despesa,-4952.6
2022-12-24,Aluguel,despesa,-9388.93
2023-04-10,Investimento,receita,7957.28
2023-09-05,Salário,receita,8589.78
2022-07-30,Compra de estoque,despesa,-1313.82
2022-09-26,Venda de produto,receita,6706.04
2023-05-28,Salário,receita,2189.52
2022-09-30,Investimento,receita,5064.05
2023-10-19,Conta de luz,despesa,-953.71
2023-08-01,Venda de produto,receita,3612.82
2023-11-05,Manutenção,despesa,-742.29
2022-11-12,Salário,receita,7189.18
2023-03-21,Salário,receita,4098.61
2022-06-19,Investimento,receita,5776.57
2022-08-16,Manutenção,despesa,-9380.74
2022-04-13,Investimento,receita,1011.85
2022-08-03,Aluguel,despesa,-5180.92
2023-05-21,Salário,receita,9257.74
2022-02-20,Salário,receita,4481.27
2022-10-02,Manutenção,despesa,-649.43
2023-02-07,Compra de estoque,despesa,-8748.86
2022-09-01,Compra de estoque,despesa,-2649.73
2022-11-11,Aluguel,despesa,-7619.83
2023-04-20,Aluguel,despesa,-9679.56
2023-10-20,Manutenção,despesa,-7083.63
2022-10-10,Investimento,receita,4671.22
2023-05-24,Compra de estoque,despesa,-3637.28
2022-02-02,Reembolso,receita,5041.28
2023-08-31,Investimento,receita,7948.61
2022-02-21,Investimento,receita,5813.93
2023-03-09,Aluguel,despesa,-1544.05
2023-03-06,Aluguel,despesa,-1187.99
2023-09-21,Salário,receita,4783.75
2023-02-24,Venda de produto,receita,5147.35
2023-11-08,Investimento,receita,5816.31
2023-03-30,Compra de estoque,despesa,-8445.88
2023-05-28,Aluguel,despesa,-4385.66
2023-06-15,Reembolso,receita,3239.03
2022-09-19,Conta de luz,despesa,-2695.74
2022-06-26,Aluguel,despesa,-6329.88
2023-11-10,Manutenção,despesa,-1125.59
2022-12-20,Aluguel,despesa,-1567.44
2023-01-02,Venda de produto,receita,866.45
2022-11-28,Manutenção,despesa,-7299.95
2022-02-10,Reembolso,receita,2430.65
2022-04-04,Manutenção,despesa,-9637.63
2022-09-03,Compra de estoque,despesa,-6076.53
2022-07-19,Venda de produto,receita,371.45
2023-07-03,Salário,receita,4285.05
2023-10-29,Investimento,receita,8380.3
2023-06-19,Aluguel,despesa,-7078.72
2022-04-22,Reembolso,receita,1057.4
2022-12-07,Investimento,receita,1525.42
2023-05-11,Manutenção,despesa,-1378.65
2023-08-09,Manutenção,despesa,-8474.89
2023-07-01,Reembolso,receita,4450.7
2022-07-23,Reembolso,receita,1215.52
2022-11-20,Venda de produto,receita,365.8
2022-11-19,Reembolso,receita,496.06
2023-12-05,Manutenção,despesa,-5356.88
2022-01-13,Venda de produto,receita,3003.07
2023-07-29,Conta de luz,despesa,-4673.26
2023-01-28,Venda de produto,receita,9021.96
2022-12-03,Investimento,receita,6460.77
2022-05-01,Salário,receita,6028.49
2023-12-14,Investimento,receita,3269.57
2022-03-05,Venda de produto,receita,8994.39
2022-06-09,Reembolso,receita,930.78
2022-09-07,Aluguel,despesa,-7638.46
2023-07-25,Investimento,receita,1129.29
2022-07-17,Venda de produto,receita,4515.29
2023-09-23,Investimento,receita,4404.41
2023-04-02,Investimento,receita,4451.86
2023-02-09,Compra de estoque,despesa,-8088.81
2022-09-19,Compra de estoque,despesa,-1302.42
2023-02-19,Venda de produto,receita,701.85
2023-07-29,Aluguel,despesa,-4825.71
2023-10-08,Aluguel,despesa,-6547.05
2023-03-04,Salário,receita,8205.58
2022-12-16,Investimento,receita,4626.3
2022-02-20,Conta de luz,despesa,-4347.88
2023-10-04,Venda de produto,receita,3174.89
2023-04-22,Venda de produto,receita,7129.84
2022-10-11,Investimento,receita,2503.02
2022-04-27,Manutenção,despesa,-4052.74
2023-12-31,Investimento,receita,4257.41
2022-02-26,Compra de estoque,despesa,-2614.76
2023-10-27,Conta de luz,despesa,-1384.96
2022-01-30,Conta de luz,despesa,-4864.2
2023-06-21,Manutenção,despesa,-5612.41
2022-07-03,Salário,receita,669.7
2023-01-06,Reembolso,receita,8554.04
2022-10-31,Manutenção,despesa,-5575.42
2022-06-22,Reembolso,receita,6436.09
2023-02-19,Investimento,receita,2152.82
2022-06-24,Conta de luz,despesa,-1043.24
2022-09-10,Conta de luz,despesa,-8889.44
2023-08-21,Aluguel,despesa,-5440.34
2023-08-23,Salário,receita,992.87
2022-01-29,Venda de produto,receita,6623.46
2022-08-19,Venda de produto,receita,4653.78
2023-01-01,Conta de luz,despesa,-4720.16
2023-05-28,Conta de luz,despesa,-8515.07
2022-02-18,Salário,receita,8055.52
2023-12-24,Conta de luz,despesa,-3904.6
2022-09-11,Venda de produto,receita,4632.43
2022-08-27,Reembolso,receita,9382.93
2023-10-31,Manutenção,despesa,-5725.96
2022-07-05,Salário,receita,809.51
2023-08-24,Aluguel,despesa,-9457.02
2023-07-31,Investimento,receita,4333.72
2023-06-19,Investimento,receita,658.2
2022-12-19,Conta de luz,despesa,-7251.53
2022-07-18,Conta de luz,despesa,-2529.75
2022-10-06,Reembolso,receita,4707.47
2023-12-15,Compra de estoque,despesa,-7380.25
2022-10-23,Reembolso,receita,8398.22
2022-08-07,Manutenção,despesa,-2047.73
2022-07-21,Compra de estoque,despesa,-8726.47
2022-04-02,Investimento,receita,1267.61
2023-03-27,Salário,receita,4468.55
2023-09-03,Reembolso,receita,1839.79
2023-05-06,Compra de estoque,despesa,-7389.38
2022-12-10,Aluguel,despesa,-2559.43
2023-04-24,Manutenção,despesa,-6249.73
2022-03-22,Aluguel,despesa,-2842.88
2023-06-06,Conta de luz,despesa,-3575.22
2022-05-22,Manutenção,despesa,-6811.89
2023-12-23,Salário,receita,3735.15
2023-05-07,Salário,receita,2197.26
2023-10-12,Venda de produto,receita,9917.39
2022-09-06,Investimento,receita,5066.35
2023-06-22,Manutenção,despesa,-4577.39
2022-05-16,Investimento,receita,7543.97
2023-11-25,Compra de estoque,despesa,-5452.39
2022-05-09,Compra de estoque,despesa,-5065.9
2023-08-12,Compra de estoque,despesa,-8515.14
2022-04-04,Manutenção,despesa,-6682.19
2023-11-18,Aluguel,despesa,-5201.32
2023-06-14,Manutenção,despesa,-3876.18
2023-06-13,Venda de produto,receita,2065.79
2022-01-30,Aluguel,despesa,-7632.55
2022-07-23,Aluguel,despesa,-2381.55
2023-04-11,Salário,receita,8684.31
2022-08-18,Conta de luz,despesa,-5331.21
2023-01-02,Investimento,receita,1718.38
2022-02-21,Compra de estoque,despesa,-4971.0
2023-11-01,Salário,receita,9037.01
2023-01-25,Reembolso,receita,5186.11
2023-07-10,Salário,receita,346.57
2023-03-22,Salário,receita,4162.6
2022-06-03,Reembolso,receita,6553.31
2022-06-13,Salário,receita,3946.57
2023-04-04,Conta de luz,despesa,-8412.64
2022-04-21,Venda de produto,receita,4570.83
2022-05-07,Compra de estoque,despesa,-8201.59
2022-12-18,Investimento,receita,3309.14
2022-10-04,Compra de estoque,despesa,-3165.54
2023-05-18,Reembolso,receita,9263.73
2022-10-28,Investimento,receita,907.31
2022-10-28,Conta de luz,despesa,-109.7
2023-05-14,Conta de luz,despesa,-4377.24
2022-02-22,Venda de produto,receita,3480.29
2022-05-06,Aluguel,despesa,-9621.25
2023-07-03,Aluguel,despesa,-4381.0
2022-05-14,Reembolso,receita,3169.92
2023-06-18,Aluguel,despesa,-4365.35
2022-08-25,Salário,receita,1379.83
2023-06-12,Investimento,receita,8502.37
2022-12-14,Reembolso,receita,1049.78
2023-07-11,Aluguel,despesa,-8353.06
2023-11-16,Venda de produto,receita,3625.84
2022-09-11,Venda de produto,receita,3029.91
2023-09-10,Venda de produto,receita,4504.2
2023-04-21,Reembolso,receita,3801.23
2023-05-11,Compra de estoque,despesa,-7552.56
2022-09-29,Venda de produto,receita,9093.7
2023-03-01,Aluguel,despesa,-1964.57
2022-10-30,Aluguel,despesa,-5144.44
2023-11-28,Investimento,receita,3964.56
2022-04-02,Venda de produto,receita,6709.54
2023-07-24,Conta de luz,despesa,-8633.65
2023-09-27,Compra de estoque,despesa,-9619.34
2022-10-31,Manutenção,despesa,-9019.45
2023-09-09,Salário,receita,386.75
2023-12-07,Aluguel,despesa,-6970.1
2022-06-23,Manutenção,despesa,-3437.11
2022-05-30,Conta de luz,despesa,-5192.07
2022-10-18,Venda de produto,receita,4792.71
2022-05-06,Reembolso,receita,5643.3
2022-07-18,Salário,receita,2984.33
2023-05-05,Salário,receita,3339.54
2022-02-17,Investimento,receita,6666.82
2022-01-19,Conta de luz,despesa,-7007.14
2022-02-08,Aluguel,despesa,-9047.53
2023-07-30,Salário,receita,6058.36
2022-04-19,Venda de produto,receita,9908.31
2022-09-04,Conta de luz,despesa,-9806.61
2022-02-26,Manutenção,despesa,-513.05
2022-09-16,Venda de produto,receita,2854.75
2022-04-15,Compra de estoque,despesa,-616.19
2022-11-27,Compra de estoque,despesa,-4943.38
2022-09-17,Conta de luz,despesa,-704.87
2023-12-25,Manutenção,despesa,-9724.14
2022-11-19,Manutenção,despesa,-8211.51
2022-07-11,Aluguel,despesa,-3618.13
2023-07-11,Investimento,receita,1040.92
2023-09-03,Reembolso,receita,101.6
2022-05-05,Investimento,receita,4424.67
2023-09-08,Investimento,receita,3260.21
2022-07-31,Reembolso,receita,9519.27
2023-01-24,Conta de luz,despesa,-4171.21
2023-09-08,Conta de luz,despesa,-4496.73
2023-06-12,Aluguel,despesa,-4472.66
2022-03-10,Compra de estoque,despesa,-4735.16
2023-05-12,Compra de estoque,despesa,-4800.08
2022-05-11,Investimento,receita,8258.67
2023-06-23,Investimento,receita,6667.32
2023-07-18,Reembolso,receita,4588.18
2022-09-03,Investimento,receita,6546.97
2023-04-27,Investimento,receita,3709.56
2023-08-29,Investimento,receita,2077.92
2023-02-20,Manutenção,despesa,-5171.75
2023-01-23,Reembolso,receita,2334.8
2023-12-02,Aluguel,despesa,-7112.16
2022-07-29,Manutenção,despesa,-4521.84
2022-01-02,Salário,receita,9392.41
2022-02-26,Conta de luz,despesa,-7243.27
2023-01-05,Investimento,receita,7796.76
2023-02-25,Conta de luz,despesa,-1548.88
2023-10-24,Venda de produto,receita,4666.83
2023-12-23,Salário,receita,5173.43
2023-07-18,Reembolso,receita,6506.97
2022-12-29,Reembolso,receita,1964.77
2023-05-25,Salário,receita,6730.88
2022-08-02,Aluguel,despesa,-8587.26
2023-02-22,Manutenção,despesa,-9258.54
2022-03-21,Investimento,receita,9033.1
2022-10-04,Reembolso,receita,7503.61
2023-08-11,Compra de estoque,despesa,-9204.23
2023-03-19,Salário,receita,1928.46
2022-07-22,Aluguel,despesa,-1001.45
2022-01-10,Investimento,receita,5932.45
2023-05-31,Venda de produto,receita,6844.11
2022-09-04,Manutenção,despesa,-5387.31
2022-08-24,Investimento,receita,1190.98
2023-11-09,Compra de estoque,despesa,-3405.86
2023-08-22,Reembolso,receita,5393.0
2022-11-25,Salário,receita,1884.89
2022-02-12,Manutenção,despesa,-5203.29
2023-05-16,Investimento,receita,6413.76
2023-08-23,Manutenção,despesa,-9227.36
2023-09-28,Manutenção,despesa,-6383.4
2022-09-14,Conta de luz,despesa,-7207.2
2022-10-17,Venda de produto,receita,6403.74
2022-08-09,Manutenção,despesa,-3525.53
2023-01-02,Manutenção,despesa,-5142.06
2022-12-25,Manutenção,despesa,-2379.07
2022-03-17,Reembolso,receita,2752.55
2022-08-15,Conta de luz,despesa,-8188.15
